seqnames,start,end,width,strand,element_name,LTR_class,fullName
chr16,69834917,69835265,349,+,MLT1A0,MLT1,chr16:69834917-69835265:+|MLT1A0|MLT1
chr1,57186940,57187397,458,-,MLT1C,MLT1,chr1:57186940-57187397:-|MLT1C|MLT1
chr2,108444950,108445307,358,+,MLT1A,MLT1,chr2:108444950-108445307:+|MLT1A|MLT1
chr3,26217189,26217548,360,+,MLT1A0,MLT1,chr3:26217189-26217548:+|MLT1A0|MLT1
chr7,68631625,68632021,397,+,MLT1B,MLT1,chr7:68631625-68632021:+|MLT1B|MLT1
chr1,87579124,87579510,387,-,MLT1B,MLT1,chr1:87579124-87579510:-|MLT1B|MLT1
chr1,186536797,186537162,366,-,MLT1A0,MLT1,chr1:186536797-186537162:-|MLT1A0|MLT1
chr1,83942029,83942412,384,+,MLT1B,MLT1,chr1:83942029-83942412:+|MLT1B|MLT1
chrX,116559553,116559944,392,+,MLT1A1,MLT1,chrX:116559553-116559944:+|MLT1A1|MLT1
chr9,115381373,115381765,393,+,MLT1B,MLT1,chr9:115381373-115381765:+|MLT1B|MLT1
chr11,31821200,31821556,357,-,MLT1A0,MLT1,chr11:31821200-31821556:-|MLT1A0|MLT1
chrX,56879339,56879789,451,+,MLT1C,MLT1,chrX:56879339-56879789:+|MLT1C|MLT1
chr11,39617869,39618367,499,-,MLT1D,MLT1,chr11:39617869-39618367:-|MLT1D|MLT1
chr14,78030109,78030474,366,-,MLT1A,MLT1,chr14:78030109-78030474:-|MLT1A|MLT1
chr3,120379875,120380225,351,-,MLT1A0,MLT1,chr3:120379875-120380225:-|MLT1A0|MLT1
chr10,115891901,115892259,359,+,MLT1A,MLT1,chr10:115891901-115892259:+|MLT1A|MLT1
chr15,94473105,94473458,354,-,MLT1A0,MLT1,chr15:94473105-94473458:-|MLT1A0|MLT1
chr6,33258718,33259105,388,-,MLT1B,MLT1,chr6:33258718-33259105:-|MLT1B|MLT1
chr2,161880248,161880613,366,-,MLT1A0,MLT1,chr2:161880248-161880613:-|MLT1A0|MLT1
chr13,110811629,110812183,555,+,MLT1H1,MLT1,chr13:110811629-110812183:+|MLT1H1|MLT1
chr16,50859527,50859901,375,+,MLT1A,MLT1,chr16:50859527-50859901:+|MLT1A|MLT1
chr13,38272723,38273102,380,-,MLT1B,MLT1,chr13:38272723-38273102:-|MLT1B|MLT1
chr9,87461796,87462161,366,+,MLT1A,MLT1,chr9:87461796-87462161:+|MLT1A|MLT1
chr17,70453360,70453852,493,-,MLT1D,MLT1,chr17:70453360-70453852:-|MLT1D|MLT1
chr10,119862290,119862652,363,-,MLT1A,MLT1,chr10:119862290-119862652:-|MLT1A|MLT1
chr10,44930697,44931147,451,+,MLT1C,MLT1,chr10:44930697-44931147:+|MLT1C|MLT1
chr5,48337166,48337544,379,-,MLT1A,MLT1,chr5:48337166-48337544:-|MLT1A|MLT1
chr13,17133434,17133841,408,-,MLT1I,MLT1,chr13:17133434-17133841:-|MLT1I|MLT1
chr8,44602057,44602432,376,+,MLT1A0,MLT1,chr8:44602057-44602432:+|MLT1A0|MLT1
chr2,16538875,16539245,371,+,MLT1A,MLT1,chr2:16538875-16539245:+|MLT1A|MLT1
chr3,126784079,126784428,350,-,MLT1A0,MLT1,chr3:126784079-126784428:-|MLT1A0|MLT1
chr3,103545785,103546182,398,+,MLT1B,MLT1,chr3:103545785-103546182:+|MLT1B|MLT1
chr6,29722884,29723367,484,-,MLT1D,MLT1,chr6:29722884-29723367:-|MLT1D|MLT1
chr3,78690196,78690583,388,-,MLT1A1,MLT1,chr3:78690196-78690583:-|MLT1A1|MLT1
chr1,76172643,76173010,368,-,MLT1A0,MLT1,chr1:76172643-76173010:-|MLT1A0|MLT1
chr11,86047266,86047637,372,+,MLT1B,MLT1,chr11:86047266-86047637:+|MLT1B|MLT1
chr12,43014510,43014857,348,+,MLT1A0,MLT1,chr12:43014510-43014857:+|MLT1A0|MLT1
chr16,65918773,65919253,481,+,MLT1D,MLT1,chr16:65918773-65919253:+|MLT1D|MLT1
chr8,77737939,77738300,362,-,MLT1A0,MLT1,chr8:77737939-77738300:-|MLT1A0|MLT1
chr2,160922119,160922469,351,+,MLT1A0,MLT1,chr2:160922119-160922469:+|MLT1A0|MLT1
chr10,47344552,47344903,352,+,MLT1A0,MLT1,chr10:47344552-47344903:+|MLT1A0|MLT1
chr15,58818031,58818548,518,+,MLT1D,MLT1,chr15:58818031-58818548:+|MLT1D|MLT1
chr10,94314005,94314368,364,+,MLT1A0,MLT1,chr10:94314005-94314368:+|MLT1A0|MLT1
chr16,58027497,58027986,490,-,MLT1D,MLT1,chr16:58027497-58027986:-|MLT1D|MLT1
chrX,168962730,168963104,375,-,MLT1A,MLT1,chrX:168962730-168963104:-|MLT1A|MLT1
chrX,144196490,144196867,378,+,MLT1A,MLT1,chrX:144196490-144196867:+|MLT1A|MLT1
chr7,54797625,54797987,363,-,MLT1A,MLT1,chr7:54797625-54797987:-|MLT1A|MLT1
chr1,47055815,47056188,374,-,MLT1B,MLT1,chr1:47055815-47056188:-|MLT1B|MLT1
chr2,94127809,94128186,378,+,MLT1A0,MLT1,chr2:94127809-94128186:+|MLT1A0|MLT1
chr13,3789113,3789476,364,+,MLT1A,MLT1,chr13:3789113-3789476:+|MLT1A|MLT1
chr2,125692833,125693179,347,-,MLT1A0,MLT1,chr2:125692833-125693179:-|MLT1A0|MLT1
chr7,117891070,117891451,382,-,MLT1B,MLT1,chr7:117891070-117891451:-|MLT1B|MLT1
chr14,20005590,20005976,387,+,MLT1A,MLT1,chr14:20005590-20005976:+|MLT1A|MLT1
chr12,95458945,95459325,381,+,MLT1B,MLT1,chr12:95458945-95459325:+|MLT1B|MLT1
chr19,24641512,24641872,361,-,MLT1A0,MLT1,chr19:24641512-24641872:-|MLT1A0|MLT1
chr12,106317286,106317646,361,-,MLT1A0,MLT1,chr12:106317286-106317646:-|MLT1A0|MLT1
chrX,160618060,160618427,368,-,MLT1A,MLT1,chrX:160618060-160618427:-|MLT1A|MLT1
chrX,86114589,86115131,543,+,MLT1F2,MLT1,chrX:86114589-86115131:+|MLT1F2|MLT1
chr1,175576278,175576625,348,+,MLT1A0,MLT1,chr1:175576278-175576625:+|MLT1A0|MLT1
chrX,87420886,87421268,383,+,MLT1A,MLT1,chrX:87420886-87421268:+|MLT1A|MLT1
chr10,54831514,54831911,398,+,MLT1A1,MLT1,chr10:54831514-54831911:+|MLT1A1|MLT1
chr14,57225069,57225428,360,+,MLT1A,MLT1,chr14:57225069-57225428:+|MLT1A|MLT1
chr5,65984865,65985249,385,-,MLT1B,MLT1,chr5:65984865-65985249:-|MLT1B|MLT1
chr6,89267728,89268100,373,-,MLT1A,MLT1,chr6:89267728-89268100:-|MLT1A|MLT1
chr7,123994282,123994764,483,+,MLT1D,MLT1,chr7:123994282-123994764:+|MLT1D|MLT1
chr9,16431819,16432195,377,+,MLT1A,MLT1,chr9:16431819-16432195:+|MLT1A|MLT1
chr13,95457108,95457469,362,-,MLT1A0,MLT1,chr13:95457108-95457469:-|MLT1A0|MLT1
chr16,65713216,65713698,483,-,MLT1D,MLT1,chr16:65713216-65713698:-|MLT1D|MLT1
chr6,32477616,32478095,480,+,MLT1D,MLT1,chr6:32477616-32478095:+|MLT1D|MLT1
chr19,12471695,12472056,362,+,MLT1A0,MLT1,chr19:12471695-12472056:+|MLT1A0|MLT1
chr9,42214128,42214494,367,-,MLT1A,MLT1,chr9:42214128-42214494:-|MLT1A|MLT1
chr1,61408902,61409361,460,+,MLT1C,MLT1,chr1:61408902-61409361:+|MLT1C|MLT1
chrX,168431269,168431765,497,+,MLT1H2,MLT1,chrX:168431269-168431765:+|MLT1H2|MLT1
chr5,95996795,95997342,548,-,MLT1F2,MLT1,chr5:95996795-95997342:-|MLT1F2|MLT1
chr2,145700373,145700955,583,+,MLT1F1,MLT1,chr2:145700373-145700955:+|MLT1F1|MLT1
chr4,90998477,90998981,505,-,MLT1D,MLT1,chr4:90998477-90998981:-|MLT1D|MLT1
chr3,132437243,132437634,392,-,MLT1A1,MLT1,chr3:132437243-132437634:-|MLT1A1|MLT1
chr2,38291267,38291774,508,-,MLT1J,MLT1,chr2:38291267-38291774:-|MLT1J|MLT1
chr16,42253973,42254324,352,+,MLT1A0,MLT1,chr16:42253973-42254324:+|MLT1A0|MLT1
chr8,64473502,64473891,390,+,MLT1A1,MLT1,chr8:64473502-64473891:+|MLT1A1|MLT1
chr6,90613671,90614060,390,+,MLT1A1,MLT1,chr6:90613671-90614060:+|MLT1A1|MLT1
chr7,30037219,30037751,533,+,MLT1F2,MLT1,chr7:30037219-30037751:+|MLT1F2|MLT1
chr8,57227177,57227663,487,-,MLT1D,MLT1,chr8:57227177-57227663:-|MLT1D|MLT1
chr16,56339791,56340167,377,+,MLT1B,MLT1,chr16:56339791-56340167:+|MLT1B|MLT1
chrX,6296668,6297044,377,+,MLT1A,MLT1,chrX:6296668-6297044:+|MLT1A|MLT1
chrX,76797731,76798077,347,+,MLT1A0,MLT1,chrX:76797731-76798077:+|MLT1A0|MLT1
chr14,27072768,27073249,482,-,MLT1D,MLT1,chr14:27072768-27073249:-|MLT1D|MLT1
chr15,65172147,65172574,428,-,MLT1A1,MLT1,chr15:65172147-65172574:-|MLT1A1|MLT1
chr12,100892389,100892876,488,-,MLT1D,MLT1,chr12:100892389-100892876:-|MLT1D|MLT1
chr13,106283306,106283677,372,+,MLT1B,MLT1,chr13:106283306-106283677:+|MLT1B|MLT1
chr16,12557054,12557432,379,+,MLT1B,MLT1,chr16:12557054-12557432:+|MLT1B|MLT1
chr6,52702185,52702642,458,-,MLT1C,MLT1,chr6:52702185-52702642:-|MLT1C|MLT1
chr7,72704575,72704968,394,-,MLT1A1,MLT1,chr7:72704575-72704968:-|MLT1A1|MLT1
chr12,64586706,64587305,600,+,MLT1E2,MLT1,chr12:64586706-64587305:+|MLT1E2|MLT1
chr3,18252215,18252580,366,-,MLT1A0,MLT1,chr3:18252215-18252580:-|MLT1A0|MLT1
chr2,109738668,109739057,390,-,MLT1A1,MLT1,chr2:109738668-109739057:-|MLT1A1|MLT1
chr5,40565650,40565999,350,-,MLT1A0,MLT1,chr5:40565650-40565999:-|MLT1A0|MLT1
chr15,77425706,77426108,403,+,MLT1B,MLT1,chr15:77425706-77426108:+|MLT1B|MLT1
chr6,63675281,63675653,373,-,MLT1B,MLT1,chr6:63675281-63675653:-|MLT1B|MLT1
chr11,93532649,93533052,404,+,MLT1B,MLT1,chr11:93532649-93533052:+|MLT1B|MLT1
chrX,104191171,104191667,497,+,MLT1D,MLT1,chrX:104191171-104191667:+|MLT1D|MLT1
chr12,82822769,82823144,376,-,MLT1B,MLT1,chr12:82822769-82823144:-|MLT1B|MLT1
chr1,91464145,91464534,390,-,MLT1A1,MLT1,chr1:91464145-91464534:-|MLT1A1|MLT1
chr14,13287657,13288003,347,-,MLT1A0,MLT1,chr14:13287657-13288003:-|MLT1A0|MLT1
chr3,101955543,101955903,361,-,MLT1A,MLT1,chr3:101955543-101955903:-|MLT1A|MLT1
chr16,52055349,52055819,471,-,MLT1C,MLT1,chr16:52055349-52055819:-|MLT1C|MLT1
chr14,66887904,66888260,357,+,MLT1A0,MLT1,chr14:66887904-66888260:+|MLT1A0|MLT1
chr19,44561290,44561919,630,-,MLT1E,MLT1,chr19:44561290-44561919:-|MLT1E|MLT1
chr13,99417576,99417974,399,+,MLT1B,MLT1,chr13:99417576-99417974:+|MLT1B|MLT1
chr10,46695236,46695835,600,+,MLT1E3,MLT1,chr10:46695236-46695835:+|MLT1E3|MLT1
chr6,53970043,53970399,357,+,MLT1A0,MLT1,chr6:53970043-53970399:+|MLT1A0|MLT1
chr10,84541341,84541749,409,-,MLT1B,MLT1,chr10:84541341-84541749:-|MLT1B|MLT1
chr19,35083972,35084517,546,+,MLT1F1,MLT1,chr19:35083972-35084517:+|MLT1F1|MLT1
chr12,40420493,40420899,407,+,MLT1B,MLT1,chr12:40420493-40420899:+|MLT1B|MLT1
chrX,110545098,110545457,360,-,MLT1A0,MLT1,chrX:110545098-110545457:-|MLT1A0|MLT1
chr13,91608411,91608778,368,-,MLT1A0,MLT1,chr13:91608411-91608778:-|MLT1A0|MLT1
chr3,138875576,138875937,362,-,MLT1A,MLT1,chr3:138875576-138875937:-|MLT1A|MLT1
chr15,90012049,90012426,378,-,MLT1B,MLT1,chr15:90012049-90012426:-|MLT1B|MLT1
chr10,37623780,37624375,596,-,MLT1E3,MLT1,chr10:37623780-37624375:-|MLT1E3|MLT1
chr2,6149022,6149391,370,-,MLT1A,MLT1,chr2:6149022-6149391:-|MLT1A|MLT1
chrX,13911364,13911744,381,-,MLT1B,MLT1,chrX:13911364-13911744:-|MLT1B|MLT1
chr2,145708358,145708720,363,-,MLT1A0,MLT1,chr2:145708358-145708720:-|MLT1A0|MLT1
chr6,118719976,118720358,383,+,MLT1B,MLT1,chr6:118719976-118720358:+|MLT1B|MLT1
chr11,84588383,84588922,540,-,MLT1F,MLT1,chr11:84588383-84588922:-|MLT1F|MLT1
chr3,141715828,141716207,380,-,MLT1B,MLT1,chr3:141715828-141716207:-|MLT1B|MLT1
chr9,118466133,118466500,368,-,MLT1A0,MLT1,chr9:118466133-118466500:-|MLT1A0|MLT1
chr3,159095823,159096182,360,+,MLT1A0,MLT1,chr3:159095823-159096182:+|MLT1A0|MLT1
chr6,107078761,107079137,377,-,MLT1B,MLT1,chr6:107078761-107079137:-|MLT1B|MLT1
chr9,94543300,94543655,356,-,MLT1A0,MLT1,chr9:94543300-94543655:-|MLT1A0|MLT1
chrX,158983962,158984391,430,-,MLT1J1,MLT1,chrX:158983962-158984391:-|MLT1J1|MLT1
chr7,121838448,121838824,377,-,MLT1A,MLT1,chr7:121838448-121838824:-|MLT1A|MLT1
chr2,8643270,8643616,347,-,MLT1A0,MLT1,chr2:8643270-8643616:-|MLT1A0|MLT1
chr15,54795366,54795756,391,+,MLT1A1,MLT1,chr15:54795366-54795756:+|MLT1A1|MLT1
chr1,159766425,159767101,677,-,MLT1E1A,MLT1,chr1:159766425-159767101:-|MLT1E1A|MLT1
chr13,34505127,34505503,377,-,MLT1B,MLT1,chr13:34505127-34505503:-|MLT1B|MLT1
chr2,63631598,63631967,370,+,MLT1A,MLT1,chr2:63631598-63631967:+|MLT1A|MLT1
chr18,52903930,52904438,509,-,MLT1D,MLT1,chr18:52903930-52904438:-|MLT1D|MLT1
chr11,113967300,113967664,365,+,MLT1A,MLT1,chr11:113967300-113967664:+|MLT1A|MLT1
chr11,110414085,110414560,476,-,MLT1C,MLT1,chr11:110414085-110414560:-|MLT1C|MLT1
chr15,16654477,16654863,387,+,MLT1B,MLT1,chr15:16654477-16654863:+|MLT1B|MLT1
chr2,51497334,51497683,350,-,MLT1A0,MLT1,chr2:51497334-51497683:-|MLT1A0|MLT1
chr5,46126378,46126765,388,+,MLT1B,MLT1,chr5:46126378-46126765:+|MLT1B|MLT1
chr15,52578886,52579272,387,+,MLT1B,MLT1,chr15:52578886-52579272:+|MLT1B|MLT1
chr7,91137701,91138181,481,-,MLT1D,MLT1,chr7:91137701-91138181:-|MLT1D|MLT1
chr9,34773467,34773829,363,-,MLT1A,MLT1,chr9:34773467-34773829:-|MLT1A|MLT1
chr2,19168778,19169242,465,+,MLT1C,MLT1,chr2:19168778-19169242:+|MLT1C|MLT1
chr9,94111697,94112090,394,+,MLT1B,MLT1,chr9:94111697-94112090:+|MLT1B|MLT1
chrX,72457281,72457651,371,-,MLT1B,MLT1,chrX:72457281-72457651:-|MLT1B|MLT1
chr1,88880142,88880618,477,+,MLT1C,MLT1,chr1:88880142-88880618:+|MLT1C|MLT1
chr4,103690077,103690462,386,-,MLT1B,MLT1,chr4:103690077-103690462:-|MLT1B|MLT1
chr4,85133132,85133629,498,+,MLT1D,MLT1,chr4:85133132-85133629:+|MLT1D|MLT1
chr15,28724215,28724609,395,+,MLT1B,MLT1,chr15:28724215-28724609:+|MLT1B|MLT1
chr8,97821970,97822473,504,+,MLT2B1,MLT2,chr8:97821970-97822473:+|MLT2B1|MLT2
chr12,59417594,59417977,384,-,MLT2C1,MLT2,chr12:59417594-59417977:-|MLT2C1|MLT2
chr1,94358487,94358881,395,-,MLT2C1,MLT2,chr1:94358487-94358881:-|MLT2C1|MLT2
chr11,31386951,31387336,386,+,MLT2C1,MLT2,chr11:31386951-31387336:+|MLT2C1|MLT2
chr15,101600307,101600703,397,+,MLT2D,MLT2,chr15:101600307-101600703:+|MLT2D|MLT2
chr13,46282625,46283012,388,-,MLT2C1,MLT2,chr13:46282625-46283012:-|MLT2C1|MLT2
chr10,112468791,112469313,523,-,MLT2B1,MLT2,chr10:112468791-112469313:-|MLT2B1|MLT2
chr6,44144656,44145172,517,+,MLT2B2,MLT2,chr6:44144656-44145172:+|MLT2B2|MLT2
chr15,94863143,94863534,392,+,MLT2C1,MLT2,chr15:94863143-94863534:+|MLT2C1|MLT2
chr7,82883246,82883782,537,-,MLT2B3,MLT2,chr7:82883246-82883782:-|MLT2B3|MLT2
chr18,78232999,78233399,401,+,MLT2C1,MLT2,chr18:78232999-78233399:+|MLT2C1|MLT2
chr8,113807237,113807768,532,+,MLT2B3,MLT2,chr8:113807237-113807768:+|MLT2B3|MLT2
chrX,78699670,78700174,505,-,MLT2B2,MLT2,chrX:78699670-78700174:-|MLT2B2|MLT2
chr2,8509685,8510080,396,-,MLT2D,MLT2,chr2:8509685-8510080:-|MLT2D|MLT2
chrX,105623542,105624064,523,-,MLT2B2,MLT2,chrX:105623542-105624064:-|MLT2B2|MLT2
chr11,12538859,12539257,399,+,MLT2D,MLT2,chr11:12538859-12539257:+|MLT2D|MLT2
chr9,30504728,30505253,526,+,MLT2B2,MLT2,chr9:30504728-30505253:+|MLT2B2|MLT2
chr8,43248626,43249160,535,+,MLT2B2,MLT2,chr8:43248626-43249160:+|MLT2B2|MLT2
chr14,58144675,58145172,498,+,MLT2B2,MLT2,chr14:58144675-58145172:+|MLT2B2|MLT2
chr4,124122685,124123217,533,-,MLT2B2,MLT2,chr4:124122685-124123217:-|MLT2B2|MLT2
chr1,143353122,143353654,533,-,MLT2B3,MLT2,chr1:143353122-143353654:-|MLT2B3|MLT2
chr1,64669465,64669996,532,+,MLT2B3,MLT2,chr1:64669465-64669996:+|MLT2B3|MLT2
chr10,98894312,98894811,500,+,MLT2B2,MLT2,chr10:98894312-98894811:+|MLT2B2|MLT2
chr15,7237862,7238397,536,+,MLT2B1,MLT2,chr15:7237862-7238397:+|MLT2B1|MLT2
chr19,13070142,13070652,511,+,MLT2B2,MLT2,chr19:13070142-13070652:+|MLT2B2|MLT2
chr13,9078442,9078927,486,+,MLT2C2,MLT2,chr13:9078442-9078927:+|MLT2C2|MLT2
chr4,80973815,80974343,529,+,MLT2B3,MLT2,chr4:80973815-80974343:+|MLT2B3|MLT2
chr13,6772780,6773179,400,+,MLT2D,MLT2,chr13:6772780-6773179:+|MLT2D|MLT2
chr14,27989409,27989884,476,-,MLT2C2,MLT2,chr14:27989409-27989884:-|MLT2C2|MLT2
chr15,29485381,29485895,515,+,MLT2B1,MLT2,chr15:29485381-29485895:+|MLT2B1|MLT2
chr16,49484100,49484634,535,+,MLT2B3,MLT2,chr16:49484100-49484634:+|MLT2B3|MLT2
chr7,78161411,78161909,499,-,MLT2B2,MLT2,chr7:78161411-78161909:-|MLT2B2|MLT2
chr6,17376999,17377396,398,+,MLT2D,MLT2,chr6:17376999-17377396:+|MLT2D|MLT2
chr2,148322338,148322876,539,+,MLT2B3,MLT2,chr2:148322338-148322876:+|MLT2B3|MLT2
chr11,101863598,101864097,500,+,MLT2B2,MLT2,chr11:101863598-101864097:+|MLT2B2|MLT2
chr17,54140622,54141011,390,+,MLT2C1,MLT2,chr17:54140622-54141011:+|MLT2C1|MLT2
chr13,114215638,114216138,501,+,MLT2B2,MLT2,chr13:114215638-114216138:+|MLT2B2|MLT2
chr6,18969161,18969672,512,+,MLT2B2,MLT2,chr6:18969161-18969672:+|MLT2B2|MLT2
chr15,40336988,40337410,423,+,MLT2D,MLT2,chr15:40336988-40337410:+|MLT2D|MLT2
chr4,126391858,126392248,391,+,MLT2C1,MLT2,chr4:126391858-126392248:+|MLT2C1|MLT2
chr4,72132852,72133398,547,+,MLT2B3,MLT2,chr4:72132852-72133398:+|MLT2B3|MLT2
chrX,130641472,130642000,529,+,MLT2B3,MLT2,chrX:130641472-130642000:+|MLT2B3|MLT2
chr8,75478209,75478739,531,-,MLT2B2,MLT2,chr8:75478209-75478739:-|MLT2B2|MLT2
chr8,67930864,67931395,532,+,MLT2B3,MLT2,chr8:67930864-67931395:+|MLT2B3|MLT2
chr6,65831808,65832236,429,-,MLT2D,MLT2,chr6:65831808-65832236:-|MLT2D|MLT2
chr19,27351415,27351982,568,-,MLT2B3,MLT2,chr19:27351415-27351982:-|MLT2B3|MLT2
chr17,59334457,59335035,579,-,MLT2B4,MLT2,chr17:59334457-59335035:-|MLT2B4|MLT2
chr16,45818790,45819320,531,+,MLT2B3,MLT2,chr16:45818790-45819320:+|MLT2B3|MLT2
chr3,136549456,136549854,399,-,MLT2D,MLT2,chr3:136549456-136549854:-|MLT2D|MLT2
chr10,89997222,89997600,379,-,MLT2C1,MLT2,chr10:89997222-89997600:-|MLT2C1|MLT2
chr2,80232583,80233083,501,-,MLT2B1,MLT2,chr2:80232583-80233083:-|MLT2B1|MLT2
chr7,129227025,129227514,490,+,MLT2B2,MLT2,chr7:129227025-129227514:+|MLT2B2|MLT2
chr4,95100504,95101071,568,+,MLT2B4,MLT2,chr4:95100504-95101071:+|MLT2B4|MLT2
chr12,98539520,98539920,401,+,MLT2D,MLT2,chr12:98539520-98539920:+|MLT2D|MLT2
chr8,106934258,106934772,515,+,MLT2B1,MLT2,chr8:106934258-106934772:+|MLT2B1|MLT2
chr16,3264699,3265249,551,-,MLT2B3,MLT2,chr16:3264699-3265249:-|MLT2B3|MLT2
chr15,22442591,22443160,570,+,MLT2B3,MLT2,chr15:22442591-22443160:+|MLT2B3|MLT2
chrX,46721155,46721726,572,-,MLT2B4,MLT2,chrX:46721155-46721726:-|MLT2B4|MLT2
chr1,81405805,81406299,495,+,MLT2B2,MLT2,chr1:81405805-81406299:+|MLT2B2|MLT2
chr8,59433814,59434216,403,-,MLT2D,MLT2,chr8:59433814-59434216:-|MLT2D|MLT2
chr16,57292718,57293115,398,-,MLT2D,MLT2,chr16:57292718-57293115:-|MLT2D|MLT2
chr14,61408654,61409165,512,+,MLT2B1,MLT2,chr14:61408654-61409165:+|MLT2B1|MLT2
