#transId	geneId	source	chrom	start	end	strand	proteinId	geneName	transcriptName	geneType	transcriptType
ENSACHT00000000187	ENSACHG00000000153	ensembl	PVKX01000015.1	455258	455422	-				snRNA	snRNA
ENSACHT00000000198	ENSACHG00000000157	ensembl	PVKX01000016.1	9233	409271	-	ENSACHP00000000167			protein_coding	protein_coding
ENSACHT00000000206	ENSACHG00000000162	ensembl	PVKX01000016.1	388409	388516	-				snRNA	snRNA
ENSACHT00000000217	ENSACHG00000000167	ensembl	PVKX01000017.1	76962	309992	+	ENSACHP00000000183			protein_coding	protein_coding
ENSACHT00000000227	ENSACHG00000000180	ensembl	PVKX01000018.1	176537	192538	-	ENSACHP00000000192			protein_coding	protein_coding
ENSACHT00000000230	ENSACHG00000000180	ensembl	PVKX01000018.1	176537	189303	-	ENSACHP00000000195			protein_coding	protein_coding
ENSACHT00000000245	ENSACHG00000000192	ensembl	PVKX01000018.1	192900	220770	+	ENSACHP00000000208			protein_coding	protein_coding
ENSACHT00000000248	ENSACHG00000000192	ensembl	PVKX01000018.1	192900	219790	+	ENSACHP00000000211			protein_coding	protein_coding
ENSACHT00000000258	ENSACHG00000000201	ensembl	PVKX01000018.1	232819	246511	-	ENSACHP00000000221			protein_coding	protein_coding
ENSACHT00000000274	ENSACHG00000000213	ensembl	PVKX01000020.1	54839	122562	-	ENSACHP00000000234			protein_coding	protein_coding
ENSACHT00000000292	ENSACHG00000000213	ensembl	PVKX01000020.1	54839	122562	-	ENSACHP00000000247			protein_coding	protein_coding
ENSACHT00000000329	ENSACHG00000000267	ensembl	PVKX01000020.1	282100	283192	-	ENSACHP00000000280			protein_coding	protein_coding
ENSACHT00000000346	ENSACHG00000000274	ensembl	PVKX01000023.1	21312	23577	+	ENSACHP00000000294			protein_coding	protein_coding
ENSACHT00000000352	ENSACHG00000000278	ensembl	PVKX01000023.1	55911	56223	-	ENSACHP00000000296			protein_coding	protein_coding
ENSACHT00000000361	ENSACHG00000000286	ensembl	PVKX01000023.1	154812	155013	+	ENSACHP00000000304			protein_coding	protein_coding
ENSACHT00000000397	ENSACHG00000000300	ensembl	PVKX01000024.1	7751	44199	+	ENSACHP00000000334			protein_coding	protein_coding
ENSACHT00000000403	ENSACHG00000000325	ensembl	PVKX01000024.1	152754	152918	+				snRNA	snRNA
ENSACHT00000000414	ENSACHG00000000333	ensembl	PVKX01000025.1	297608	298179	-				pseudogene	pseudogene
ENSACHT00000000420	ENSACHG00000000343	ensembl	PVKX01000026.1	126495	126592	+				snRNA	snRNA
ENSACHT00000000427	ENSACHG00000000348	ensembl	PVKX01000026.1	362695	362875	+	ENSACHP00000000355			protein_coding	protein_coding
ENSACHT00000000440	ENSACHG00000000361	ensembl	PVKX01000026.1	384285	384429	-				snoRNA	snoRNA
ENSACHT00000000464	ENSACHG00000000375	ensembl	PVKX01000028.1	92017	335274	-	ENSACHP00000000385			protein_coding	protein_coding
ENSACHT00000000472	ENSACHG00000000390	ensembl	PVKX01000028.1	222927	223055	+				snoRNA	snoRNA
ENSACHT00000000492	ENSACHG00000000406	ensembl	PVKX01000029.1	2587	3631	+	ENSACHP00000000409			protein_coding	protein_coding
ENSACHT00000000509	ENSACHG00000000415	ensembl	PVKX01000029.1	37887	74802	+	ENSACHP00000000426			protein_coding	protein_coding
ENSACHT00000000558	ENSACHG00000000451	ensembl	PVKX01000029.1	75790	104548	-	ENSACHP00000000470			protein_coding	protein_coding
ENSACHT00000000588	ENSACHG00000000451	ensembl	PVKX01000029.1	75790	104548	-	ENSACHP00000000494			protein_coding	protein_coding
ENSACHT00000000640	ENSACHG00000000508	ensembl	PVKX01000029.1	128789	133326	-	ENSACHP00000000544			protein_coding	protein_coding
ENSACHT00000000681	ENSACHG00000000533	ensembl	PVKX01000029.1	141988	256145	+	ENSACHP00000000580			protein_coding	protein_coding
ENSACHT00000000734	ENSACHG00000000533	ensembl	PVKX01000029.1	141988	256145	+	ENSACHP00000000631			protein_coding	protein_coding
ENSACHT00000000798	ENSACHG00000000623	ensembl	PVKX01000029.1	170201	170317	-				snoRNA	snoRNA
ENSACHT00000000888	ENSACHG00000000640	ensembl	PVKX01000029.1	289699	394034	-	ENSACHP00000000763			protein_coding	protein_coding
ENSACHT00000000915	ENSACHG00000000704	ensembl	PVKX01000032.1	35485	35803	-				processed_pseudogene	processed_pseudogene
ENSACHT00000000928	ENSACHG00000000713	ensembl	PVKX01000032.1	218652	218793	+				snoRNA	snoRNA
ENSACHT00000000940	ENSACHG00000000721	ensembl	PVKX01000032.1	271525	273103	+	ENSACHP00000000803			protein_coding	protein_coding
ENSACHT00000000951	ENSACHG00000000730	ensembl	PVKX01000032.1	377376	378547	-	ENSACHP00000000813			protein_coding	protein_coding
ENSACHT00000000994	ENSACHG00000000761	ensembl	PVKX01000033.1	2546	277037	-	ENSACHP00000000852			protein_coding	protein_coding
ENSACHT00000001017	ENSACHG00000000761	ensembl	PVKX01000033.1	5478	277037	-	ENSACHP00000000874			protein_coding	protein_coding
ENSACHT00000001068	ENSACHG00000000761	ensembl	PVKX01000033.1	5569	276242	-	ENSACHP00000000923			protein_coding	protein_coding
ENSACHT00000001139	ENSACHG00000000863	ensembl	PVKX01000034.1	104770	145699	-	ENSACHP00000000981			protein_coding	protein_coding
ENSACHT00000001153	ENSACHG00000000863	ensembl	PVKX01000034.1	114441	145699	-	ENSACHP00000000992			protein_coding	protein_coding
ENSACHT00000001222	ENSACHG00000000908	ensembl	PVKX01000034.1	376498	386451	+	ENSACHP00000001054			protein_coding	protein_coding
ENSACHT00000001238	ENSACHG00000000908	ensembl	PVKX01000034.1	376571	386451	+	ENSACHP00000001068			protein_coding	protein_coding
ENSACHT00000002359	ENSACHG00000001072	ensembl	PVKX01000035.1	22522	288579	+	ENSACHP00000002053			protein_coding	protein_coding
ENSACHT00000002377	ENSACHG00000001072	ensembl	PVKX01000035.1	22522	288579	+	ENSACHP00000002067			protein_coding	protein_coding
ENSACHT00000002562	ENSACHG00000001072	ensembl	PVKX01000035.1	22722	291648	+	ENSACHP00000002226			protein_coding	protein_coding
ENSACHT00000002604	ENSACHG00000001072	ensembl	PVKX01000035.1	22819	291648	+	ENSACHP00000002264			protein_coding	protein_coding
ENSACHT00000002623	ENSACHG00000001072	ensembl	PVKX01000035.1	22819	291648	+	ENSACHP00000002281			protein_coding	protein_coding
ENSACHT00000002656	ENSACHG00000001957	ensembl	PVKX01000035.1	221571	221735	+				snRNA	snRNA
ENSACHT00000002685	ENSACHG00000001973	ensembl	PVKX01000035.1	298831	322301	-	ENSACHP00000002329			protein_coding	protein_coding
ENSACHT00000002707	ENSACHG00000001993	ensembl	PVKX01000035.1	335075	336725	-				pseudogene	pseudogene
ENSACHT00000002717	ENSACHG00000002002	ensembl	PVKX01000036.1	190196	190299	+				snRNA	snRNA
ENSACHT00000002742	ENSACHG00000002019	ensembl	PVKX01000037.1	62861	62968	-				snRNA	snRNA
ENSACHT00000002787	ENSACHG00000002041	ensembl	PVKX01000038.1	104101	312498	-	ENSACHP00000002420			protein_coding	protein_coding
ENSACHT00000002874	ENSACHG00000002123	ensembl	PVKX01000039.1	58167	109072	+	ENSACHP00000002501			protein_coding	protein_coding
ENSACHT00000003017	ENSACHG00000002173	ensembl	PVKX01000039.1	207329	294919	+	ENSACHP00000002622			protein_coding	protein_coding
ENSACHT00000003035	ENSACHG00000002173	ensembl	PVKX01000039.1	207329	294919	+	ENSACHP00000002638			protein_coding	protein_coding
ENSACHT00000003075	ENSACHG00000002281	ensembl	PVKX01000040.1	120888	121908	+	ENSACHP00000002674			protein_coding	protein_coding
ENSACHT00000003088	ENSACHG00000002293	ensembl	PVKX01000042.1	77433	77578	-				snoRNA	snoRNA
ENSACHT00000003110	ENSACHG00000002302	ensembl	PVKX01000042.1	154124	171680	+	ENSACHP00000002703			protein_coding	protein_coding
ENSACHT00000003121	ENSACHG00000002302	ensembl	PVKX01000042.1	154124	171672	+	ENSACHP00000002715			protein_coding	protein_coding
ENSACHT00000003171	ENSACHG00000002341	ensembl	PVKX01000042.1	188608	288403	+	ENSACHP00000002762			protein_coding	protein_coding
ENSACHT00000003196	ENSACHG00000002341	ensembl	PVKX01000042.1	188608	287725	+	ENSACHP00000002786			protein_coding	protein_coding
ENSACHT00000003244	ENSACHG00000002341	ensembl	PVKX01000042.1	188608	287725	+	ENSACHP00000002827			protein_coding	protein_coding
ENSACHT00000003289	ENSACHG00000002435	ensembl	PVKX01000042.1	290032	311814	-	ENSACHP00000002869			protein_coding	protein_coding
ENSACHT00000003331	ENSACHG00000002456	ensembl	PVKX01000042.1	327335	362269	-	ENSACHP00000002906			protein_coding	protein_coding
ENSACHT00000003345	ENSACHG00000002483	ensembl	PVKX01000043.1	1755	2082	-				processed_pseudogene	processed_pseudogene
ENSACHT00000003354	ENSACHG00000002486	ensembl	PVKX01000044.1	9451	9982	+	ENSACHP00000002926			protein_coding	protein_coding
ENSACHT00000003367	ENSACHG00000002491	ensembl	PVKX01000044.1	15778	18756	+	ENSACHP00000002939			protein_coding	protein_coding
ENSACHT00000003484	ENSACHG00000002519	ensembl	PVKX01000044.1	20216	24375	-	ENSACHP00000003037			protein_coding	protein_coding
ENSACHT00000003509	ENSACHG00000002519	ensembl	PVKX01000044.1	20216	23587	-	ENSACHP00000003060			protein_coding	protein_coding
ENSACHT00000003531	ENSACHG00000002519	ensembl	PVKX01000044.1	20401	23470	-	ENSACHP00000003080			protein_coding	protein_coding
ENSACHT00000003693	ENSACHG00000002647	ensembl	PVKX01000044.1	23836	29416	+	ENSACHP00000003225			protein_coding	protein_coding
ENSACHT00000003706	ENSACHG00000002647	ensembl	PVKX01000044.1	23836	29416	+	ENSACHP00000003235			protein_coding	protein_coding
ENSACHT00000003743	ENSACHG00000002647	ensembl	PVKX01000044.1	24458	29416	+	ENSACHP00000003271			protein_coding	protein_coding
ENSACHT00000003762	ENSACHG00000002647	ensembl	PVKX01000044.1	24680	29416	+	ENSACHP00000003285			protein_coding	protein_coding
ENSACHT00000003772	ENSACHG00000002647	ensembl	PVKX01000044.1	27903	29416	+	ENSACHP00000003295			protein_coding	protein_coding
ENSACHT00000003867	ENSACHG00000002817	ensembl	PVKX01000044.1	30239	32925	-	ENSACHP00000003375			protein_coding	protein_coding
ENSACHT00000003884	ENSACHG00000002817	ensembl	PVKX01000044.1	30373	32925	-	ENSACHP00000003392			protein_coding	protein_coding
ENSACHT00000003913	ENSACHG00000002886	ensembl	PVKX01000044.1	33042	33931	+	ENSACHP00000003419			protein_coding	protein_coding
ENSACHT00000003943	ENSACHG00000002904	ensembl	PVKX01000044.1	34334	35156	+				pseudogene	pseudogene
ENSACHT00000004897	ENSACHG00000002999	ensembl	PVKX01000044.1	36748	78340	-	ENSACHP00000004294			protein_coding	protein_coding
ENSACHT00000004935	ENSACHG00000002999	ensembl	PVKX01000044.1	36748	78340	-	ENSACHP00000004332			protein_coding	protein_coding
ENSACHT00000004981	ENSACHG00000002999	ensembl	PVKX01000044.1	36748	78340	-	ENSACHP00000004376			protein_coding	protein_coding
ENSACHT00000005045	ENSACHG00000003669	ensembl	PVKX01000044.1	82096	103455	-	ENSACHP00000004430			protein_coding	protein_coding
ENSACHT00000005051	ENSACHG00000003669	ensembl	PVKX01000044.1	83767	103455	-	ENSACHP00000004435			protein_coding	protein_coding
ENSACHT00000005069	ENSACHG00000003691	ensembl	PVKX01000044.1	104066	158618	-	ENSACHP00000004452			protein_coding	protein_coding
ENSACHT00000005088	ENSACHG00000003691	ensembl	PVKX01000044.1	104066	158618	-	ENSACHP00000004470			protein_coding	protein_coding
ENSACHT00000005130	ENSACHG00000003732	ensembl	PVKX01000044.1	161395	254512	+	ENSACHP00000004508			protein_coding	protein_coding
ENSACHT00000005165	ENSACHG00000003756	ensembl	PVKX01000044.1	208929	236999	-	ENSACHP00000004540			protein_coding	protein_coding
ENSACHT00000005183	ENSACHG00000003765	ensembl	PVKX01000044.1	255638	274324	-	ENSACHP00000004556			protein_coding	protein_coding
ENSACHT00000005197	ENSACHG00000003777	ensembl	PVKX01000044.1	279468	284940	+	ENSACHP00000004570			protein_coding	protein_coding
ENSACHT00000005226	ENSACHG00000003798	ensembl	PVKX01000044.1	292083	318810	+	ENSACHP00000004595			protein_coding	protein_coding
ENSACHT00000005243	ENSACHG00000003798	ensembl	PVKX01000044.1	292083	318608	+	ENSACHP00000004611			protein_coding	protein_coding
ENSACHT00000005314	ENSACHG00000003834	ensembl	PVKX01000044.1	321190	329336	+	ENSACHP00000004670			protein_coding	protein_coding
ENSACHT00000005321	ENSACHG00000003869	ensembl	PVKX01000044.1	330288	331083	-	ENSACHP00000004677			protein_coding	protein_coding
ENSACHT00000005328	ENSACHG00000003873	ensembl	PVKX01000044.1	340596	341499	+	ENSACHP00000004681			protein_coding	protein_coding
ENSACHT00000005359	ENSACHG00000003880	ensembl	PVKX01000046.1	4262	64557	+	ENSACHP00000004712			protein_coding	protein_coding
ENSACHT00000005366	ENSACHG00000003901	ensembl	PVKX01000046.1	87344	87446	-				snRNA	snRNA
ENSACHT00000005437	ENSACHG00000003919	ensembl	PVKX01000046.1	92560	270222	-	ENSACHP00000004787			protein_coding	protein_coding
ENSACHT00000005448	ENSACHG00000003919	ensembl	PVKX01000046.1	97913	270222	-	ENSACHP00000004797			protein_coding	protein_coding
ENSACHT00000005458	ENSACHG00000003919	ensembl	PVKX01000046.1	106996	270222	-	ENSACHP00000004805			protein_coding	protein_coding
ENSACHT00000005475	ENSACHG00000003919	ensembl	PVKX01000046.1	123518	270222	-	ENSACHP00000004821			protein_coding	protein_coding
ENSACHT00000005499	ENSACHG00000003919	ensembl	PVKX01000046.1	125815	261052	-	ENSACHP00000004846			protein_coding	protein_coding
ENSACHT00000005508	ENSACHG00000003919	ensembl	PVKX01000046.1	142964	261052	-	ENSACHP00000004854			protein_coding	protein_coding
ENSACHT00000005513	ENSACHG00000003989	ensembl	PVKX01000046.1	276909	303309	-				lncRNA	lncRNA
ENSACHT00000005535	ENSACHG00000003997	ensembl	PVKX01000046.1	304236	328908	+	ENSACHP00000004879			protein_coding	protein_coding
ENSACHT00000005552	ENSACHG00000004018	ensembl	PVKX01000048.1	128663	129306	-				pseudogene	pseudogene
ENSACHT00000008006	ENSACHG00000005938	ensembl	PVKX01000049.1	61028	214189	+	ENSACHP00000007086			protein_coding	protein_coding
ENSACHT00000008025	ENSACHG00000005949	ensembl	PVKX01000052.1	235691	235991	-				processed_pseudogene	processed_pseudogene
ENSACHT00000009135	ENSACHG00000006106	ensembl	PVKX01000056.1	62393	296558	-	ENSACHP00000008085			protein_coding	protein_coding
ENSACHT00000009197	ENSACHG00000006106	ensembl	PVKX01000056.1	62393	296558	-	ENSACHP00000008135			protein_coding	protein_coding
ENSACHT00000009310	ENSACHG00000006106	ensembl	PVKX01000056.1	62393	296558	-	ENSACHP00000008234			protein_coding	protein_coding
ENSACHT00000009355	ENSACHG00000006106	ensembl	PVKX01000056.1	63591	296558	-	ENSACHP00000008274			protein_coding	protein_coding
ENSACHT00000009457	ENSACHG00000006106	ensembl	PVKX01000056.1	63591	296558	-	ENSACHP00000008370			protein_coding	protein_coding
ENSACHT00000009520	ENSACHG00000006106	ensembl	PVKX01000056.1	63591	296558	-	ENSACHP00000008428			protein_coding	protein_coding
ENSACHT00000009573	ENSACHG00000006106	ensembl	PVKX01000056.1	63591	296558	-	ENSACHP00000008477			protein_coding	protein_coding
ENSACHT00000009691	ENSACHG00000006106	ensembl	PVKX01000056.1	131424	296558	-	ENSACHP00000008587			protein_coding	protein_coding
ENSACHT00000009761	ENSACHG00000007281	ensembl	PVKX01000057.1	3743	4754	+	ENSACHP00000008650			protein_coding	protein_coding
ENSACHT00000009800	ENSACHG00000007302	ensembl	PVKX01000057.1	110665	110788	+				snoRNA	snoRNA
ENSACHT00000009848	ENSACHG00000007315	ensembl	PVKX01000058.1	139616	140524	-	ENSACHP00000008724			protein_coding	protein_coding
ENSACHT00000010513	ENSACHG00000007524	ensembl	PVKX01000060.1	96516	293592	-	ENSACHP00000009327			protein_coding	protein_coding
ENSACHT00000010697	ENSACHG00000007942	ensembl	PVKX01000060.1	323373	336218	+	ENSACHP00000009478			protein_coding	protein_coding
ENSACHT00000009986	ENSACHG00000007368	ensembl	PVKX01000059.1	5720	43613	+	ENSACHP00000008849			protein_coding	protein_coding
ENSACHT00000010021	ENSACHG00000007482	ensembl	PVKX01000059.1	70423	74161	-	ENSACHP00000008884			protein_coding	protein_coding
ENSACHT00000010730	ENSACHG00000008022	ensembl	PVKX01000062.1	186407	186514	-				snRNA	snRNA
ENSACHT00000010784	ENSACHG00000008038	ensembl	PVKX01000063.1	3318	26251	-	ENSACHP00000009557			protein_coding	protein_coding
ENSACHT00000010829	ENSACHG00000008104	ensembl	PVKX01000063.1	23893	24026	-				snoRNA	snoRNA
ENSACHT00000011096	ENSACHG00000008113	ensembl	PVKX01000063.1	29649	55380	-	ENSACHP00000009841			protein_coding	protein_coding
ENSACHT00000011205	ENSACHG00000008350	ensembl	PVKX01000063.1	56032	248934	+	ENSACHP00000009939			protein_coding	protein_coding
ENSACHT00000011244	ENSACHG00000008350	ensembl	PVKX01000063.1	56032	248606	+	ENSACHP00000009976			protein_coding	protein_coding
ENSACHT00000011307	ENSACHG00000008436	ensembl	PVKX01000063.1	98512	114186	-	ENSACHP00000010036			protein_coding	protein_coding
ENSACHT00000011383	ENSACHG00000008470	ensembl	PVKX01000063.1	121777	122745	-				pseudogene	pseudogene
ENSACHT00000011431	ENSACHG00000008512	ensembl	PVKX01000063.1	125387	127751	-	ENSACHP00000010144			protein_coding	protein_coding
ENSACHT00000011475	ENSACHG00000008562	ensembl	PVKX01000063.1	153014	169433	-	ENSACHP00000010187			protein_coding	protein_coding
ENSACHT00000011531	ENSACHG00000008607	ensembl	PVKX01000063.1	188452	209477	-	ENSACHP00000010235			protein_coding	protein_coding
ENSACHT00000011640	ENSACHG00000008677	ensembl	PVKX01000063.1	250171	290725	-	ENSACHP00000010326			protein_coding	protein_coding
ENSACHT00000011714	ENSACHG00000008773	ensembl	PVKX01000063.1	320696	328418	-	ENSACHP00000010392			protein_coding	protein_coding
ENSACHT00000011788	ENSACHG00000008814	ensembl	PVKX01000064.1	2273	11108	+	ENSACHP00000010460			protein_coding	protein_coding
ENSACHT00000011850	ENSACHG00000008868	ensembl	PVKX01000064.1	13900	51644	+	ENSACHP00000010511			protein_coding	protein_coding
ENSACHT00000011892	ENSACHG00000008868	ensembl	PVKX01000064.1	32744	51644	+	ENSACHP00000010550			protein_coding	protein_coding
ENSACHT00000012128	ENSACHG00000008990	ensembl	PVKX01000064.1	64941	121844	-	ENSACHP00000010758			protein_coding	protein_coding
ENSACHT00000012262	ENSACHG00000008990	ensembl	PVKX01000064.1	65315	288279	-	ENSACHP00000010876			protein_coding	protein_coding
ENSACHT00000012302	ENSACHG00000008990	ensembl	PVKX01000064.1	66800	217043	-	ENSACHP00000010908			protein_coding	protein_coding
ENSACHT00000012323	ENSACHG00000008990	ensembl	PVKX01000064.1	66889	121844	-	ENSACHP00000010925			protein_coding	protein_coding
ENSACHT00000012384	ENSACHG00000009288	ensembl	PVKX01000065.1	35995	36127	+				snoRNA	snoRNA
ENSACHT00000012405	ENSACHG00000009299	ensembl	PVKX01000068.1	243104	243234	+				snoRNA	snoRNA
ENSACHT00000012460	ENSACHG00000009322	ensembl	PVKX01000070.1	42448	46259	-	ENSACHP00000011040			protein_coding	protein_coding
ENSACHT00000012551	ENSACHG00000009380	ensembl	PVKX01000070.1	54045	72243	+	ENSACHP00000011116			protein_coding	protein_coding
ENSACHT00000012640	ENSACHG00000009440	ensembl	PVKX01000070.1	177437	197182	+	ENSACHP00000011192			protein_coding	protein_coding
ENSACHT00000012973	ENSACHG00000009539	ensembl	PVKX01000070.1	216787	319312	-	ENSACHP00000011477			protein_coding	protein_coding
ENSACHT00000013047	ENSACHG00000009539	ensembl	PVKX01000070.1	216787	319312	-	ENSACHP00000011546			protein_coding	protein_coding
ENSACHT00000013150	ENSACHG00000009539	ensembl	PVKX01000070.1	225493	319312	-	ENSACHP00000011628			protein_coding	protein_coding
ENSACHT00000013224	ENSACHG00000009895	ensembl	PVKX01000071.1	302337	302704	+				pseudogene	pseudogene
ENSACHT00000013262	ENSACHG00000009928	ensembl	PVKX01000073.1	188673	193396	+	ENSACHP00000011719			protein_coding	protein_coding
ENSACHT00000013291	ENSACHG00000009957	ensembl	PVKX01000073.1	246005	246136	-				snoRNA	snoRNA
ENSACHT00000013314	ENSACHG00000009970	ensembl	PVKX01000074.1	61094	61283	-				snRNA	snRNA
ENSACHT00000013328	ENSACHG00000009982	ensembl	PVKX01000074.1	170297	170495	-				snoRNA	snoRNA
ENSACHT00000013560	ENSACHG00000010022	ensembl	PVKX01000075.1	104730	127577	+	ENSACHP00000011992			protein_coding	protein_coding
ENSACHT00000013577	ENSACHG00000010022	ensembl	PVKX01000075.1	104730	127577	+	ENSACHP00000012009			protein_coding	protein_coding
ENSACHT00000013597	ENSACHG00000010022	ensembl	PVKX01000075.1	104778	127577	+	ENSACHP00000012026			protein_coding	protein_coding
ENSACHT00000014044	ENSACHG00000010264	ensembl	PVKX01000075.1	141462	170191	-	ENSACHP00000012413			protein_coding	protein_coding
ENSACHT00000014077	ENSACHG00000010264	ensembl	PVKX01000075.1	141462	170191	-	ENSACHP00000012437			protein_coding	protein_coding
ENSACHT00000014131	ENSACHG00000010264	ensembl	PVKX01000075.1	141462	170191	-	ENSACHP00000012485			protein_coding	protein_coding
ENSACHT00000014190	ENSACHG00000010631	ensembl	PVKX01000075.1	172825	176582	-				lncRNA	lncRNA
ENSACHT00000015349	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013564			protein_coding	protein_coding
ENSACHT00000015458	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013666			protein_coding	protein_coding
ENSACHT00000015551	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013752			protein_coding	protein_coding
ENSACHT00000015615	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013810			protein_coding	protein_coding
ENSACHT00000015716	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013907			protein_coding	protein_coding
ENSACHT00000015827	ENSACHG00000010770	ensembl	PVKX01000075.1	182536	267248	-	ENSACHP00000013996			protein_coding	protein_coding
ENSACHT00000015892	ENSACHG00000011913	ensembl	PVKX01000075.1	215493	215605	+				Y_RNA	Y_RNA
ENSACHT00000015900	ENSACHG00000011923	ensembl	PVKX01000075.1	252637	252761	+				snoRNA	snoRNA
ENSACHT00000015917	ENSACHG00000011934	ensembl	PVKX01000075.1	296280	299232	-	ENSACHP00000014073			protein_coding	protein_coding
ENSACHT00000015944	ENSACHG00000011953	ensembl	PVKX01000078.1	178080	279998	-	ENSACHP00000014099			protein_coding	protein_coding
ENSACHT00000016318	ENSACHG00000012241	ensembl	PVKX01000081.1	309847	309952	+				snRNA	snRNA
ENSACHT00000016157	ENSACHG00000012020	ensembl	PVKX01000080.1	8578	25887	+	ENSACHP00000014295			protein_coding	protein_coding
ENSACHT00000016171	ENSACHG00000012020	ensembl	PVKX01000080.1	8578	20349	+	ENSACHP00000014305			protein_coding	protein_coding
ENSACHT00000016189	ENSACHG00000012137	ensembl	PVKX01000080.1	33765	53991	-	ENSACHP00000014320			protein_coding	protein_coding
ENSACHT00000016248	ENSACHG00000012165	ensembl	PVKX01000080.1	54040	229652	+	ENSACHP00000014374			protein_coding	protein_coding
ENSACHT00000016269	ENSACHG00000012207	ensembl	PVKX01000080.1	182184	182287	-				snRNA	snRNA
ENSACHT00000016286	ENSACHG00000012213	ensembl	PVKX01000080.1	232328	240182	-	ENSACHP00000014405			protein_coding	protein_coding
ENSACHT00000016302	ENSACHG00000012229	ensembl	PVKX01000080.1	290838	295798	+	ENSACHP00000014419			protein_coding	protein_coding
ENSACHT00000016311	ENSACHG00000012236	ensembl	PVKX01000080.1	311876	312064	+				snRNA	snRNA
ENSACHT00000016390	ENSACHG00000012257	ensembl	PVKX01000082.1	81203	107735	-	ENSACHP00000014494			protein_coding	protein_coding
ENSACHT00000016495	ENSACHG00000012325	ensembl	PVKX01000082.1	123578	304073	+	ENSACHP00000014589			protein_coding	protein_coding
ENSACHT00000016545	ENSACHG00000012410	ensembl	PVKX01000085.1	12032	15700	+	ENSACHP00000014631			protein_coding	protein_coding
ENSACHT00000016554	ENSACHG00000012410	ensembl	PVKX01000085.1	12905	15406	+	ENSACHP00000014638			protein_coding	protein_coding
ENSACHT00000016571	ENSACHG00000012434	ensembl	PVKX01000085.1	47109	58841	+	ENSACHP00000014654			protein_coding	protein_coding
ENSACHT00000016580	ENSACHG00000012444	ensembl	PVKX01000085.1	70279	80629	-	ENSACHP00000014663			protein_coding	protein_coding
